interventions,public_data_url,clustered_se,attrition,final_ss_clusters,clustering,relevant_papers_citation,public_data,rct_id,irb_name,irb_date,data_collection_completion_date,registration_date,relevant_papers_url,final_ss_by_arms,program_files,data_collection_complete,program_files_url,intervention_completion_date,final_ss_observations,relevant_papers_abstract,irb_number
"Our intervention provides free family planning consultation and contraception, with and without deadlines, to women after childbirth.  An addition to the intervention that began in November provides reminders to start family planning after childbirth.",,,,,No,,,AEARCTR-0000320,"Africa Medical and Research Foundation,Harvard School of Public Health","2014-01-21,2013-12-20",,"March 21, 2014",,,,,,,,,"AMREF-ESRC P93/2013,IRB13-2714"
"The study enrollment period will last one year, consisting of a six month intervention and a follow-up at month 12. The intervention will take place in two phases. In the first phase, 2/3 of participants will be randomly offered incentives for a period of 2 months (“rewards contract”). These participants accrue monetary rewards for (a) engaging in clinic and web-based activities that support smoking cessation (“process”)  and (b) quitting smoking by period end (“outcome”). CHCI will administer CO breathalyzer and urine anabasine/anatabine tests  to biochemically verify self-reports of smoking abstinence (“confirmatory test”).  Participants who test positive for smoking forfeit all accrued process rewards and do not receive outcome rewards.  Participants who test negative for smoking may redeem 100% of their Phase I rewards. ,A random subset of rewards group members will have the option to roll a portion of their Phase I rewards  into a Phase II deposit contract, lasting four months. One quarter of incentive group participants can “pre-commit” to the deposit contract during study enrollment, one quarter will only receive the deposit contract offer at Phase I end, and half will not receive the offer at all.  Participants who form a deposit contract must achieve abstinence during the entire contractual period in order to recover their deposit at Phase II end. As in Phase I, self-reported abstinence will be biochemically verified.    ,At the conclusion of the enrollment year, all participants will be requested to visit the clinic to take a final confirmatory test. To observe whether smoking abstinence persists after removal of incentives, no performance incentives will be contingent on the result of the follow-up measurement at 12 months.,All study participants will be offered CHCI’s full menu of smoking cessation services (e.g. individual/group counseling, tobacco cessation medication management). However, participants randomized to the control group (no rewards contract) will neither receive incentives in Phase I nor a deposit contract in Phase II.  They will not create a stickK account associated with the study, though they may sign up for the online service independently.",,,,,No,,,AEARCTR-0000960,"Community Health Center, Inc",2015-10-01,,"November 19, 2015",,,,,,,,,1071
,,,,,No,,,AEARCTR-0000817,"UCLA IRB,Columbia University IRB","2015-01-28,2015-01-23",,"August 21, 2015",,,,,,,,,"14-001873,AAAO9906"
,,,,,No,,,AEARCTR-0000034,Massachusetts Institute of Technology (MIT) IRB,2013-01-24,,"September 09, 2013",,,,,,,,,1209005234
"The intervention consists in three parent meetings held by a voluntary Grade 4 or Grade 5 teacher. After the first term, the parents were invited to register for the meetings and were requested to attend at least two of them. The voluntary teachers were trained by the General Motor's Foundation for South Africa, a NGO that has been involved in parenting for several years in the school district of Port Elisabeth.,The meetings covered several aspects of parental involvement at home and at school. During the first session, parents and teachers discussed about parenting at home (what's parenting? What is a role model? Importance of routines at home). The second session was about parenting and school:understanding the subjects taught at school and the way they are assessed, importance of parental support to succeed at school and how to effectively help their child. The third session gave an action plan to improve parenting, and highlighted the importance of encouragement and praise. ",,,,,Yes,,,AEARCTR-0000231,"The University of Cape Town, South Africa",2013-10-25,,"March 12, 2014",,,,,,,,,UCT/COM/294/2013
A mailing conveying relative attendance information,,,,,No,,,AEARCTR-0000439,Harvard IRB,2014-01-02,,"July 13, 2014",,,,,,,,,IRB13-2911
"The Government of Karnataka will pilot the use of Multi Function Devices (MFDs) in government primary health centers (PHCs). The Multi Function Devices (MFDs) will be used to (a) digitally capture the thumb impressions of health staff to monitor attendance, (b) capture beneficiary photograph and signature electronically to ensure only the genuine patients receive the benefits, and (c) transmit information on local disease and health patterns in real time to state health authorities to enable effective response to emerging local health threats. They will fund and run the intervention as they normally would.   They have decided to randomly select which PHCs will initially have the program in the first year, and then if successful, they plan to scale the program across Karnataka the following year.",,,,,Yes,,,AEARCTR-0000040,"Harvard,MIT","2010-06-01,2010-06-01",,"August 20, 2013",,,,,,,,,"F19257-104,1005003887"
"Firms assigned to the treatment group will receive a voucher for 21 weeks of free access to the UCT Law@Work Club website which provides businesses with expert labor law support to ensure accurate understanding of the laws. The website’s content includes video tutorials on various aspects of key South African labor regulations, as well as a case law library and tips on how to handle common human resources and staffing issues. The website also contains an active forum where members can ask questions about labor regulation and expect an answer from an expert in the same day. The website members receive bi-weekly newsletters informing them on the latest developments in labor regulation, giving them tips and advice on how to handle particular labor law issues, and notifying them on the latest content being published on the website.",,,,,No,,,AEARCTR-0000156,"University of Chicago,University of Cape Town","2013-02-19,2013-02-06",,"January 29, 2014",,,,,,,,,"IRB13-0095,UCT/COM/106/2013"
Please see attached Pre-Analysis Plan.,,,,,No,,,AEARCTR-0000634,"Hebrew University IRB,Stanford University IRB","2015-01-27,2015-01-09",,"February 21, 2015",,,,,,,,,"NA,FWA00000935 (SU)"
"1.	Financial Literacy and Incentives for Cooperation ,The first treatment arm will isolate the impact of a package consisting of capacity building and social encouragement on both short-term contributions towards a common pool resources and long-term operation and maintenance outcomes. For this evaluation, we will use the financial literacy training and matching grant component of the irrigation project, which also requires collective action.,2. Provision of water monitoring information ,Two information products will be provided. First, information on plot-specific actual water use and the associated productivity outcomes (in terms of crop per drop) will be discussed with the farmers on a regular basis after the agricultural surveys have established plot-level crop outcomes. Second, for each of the pilot schemes, both sources of individual farmer information will be aggregated and the sub-scheme level and mapped within the scheme. These maps will not only show farmers how much water they use relative to other members of the community leading to an adjustment in their own water use, but also convey information with respect to how their own practices affect the distribution of water to other parts of the scheme. ,3. Irrigation infrastructure ,The project will support the rehabilitation and development of at least 3,000 ha of irrigated farmland in three central regions of the country. ",,,,,Yes,,,AEARCTR-0000937,,,,"November 08, 2015",,,,,,,,,
"We randomly assigned sub-villages to different method of targeting: Proxy Mean Testing (PMT), Community and Hybrid (combination of PMT and community).  In the PMT treatment, targeting of households was based on predicting household’s consumption through data on household characteristics. In the community treatment, the residents of the neighborhood determine the list of beneficiaries through a facilitated, participatory poverty ranking exercise held at a community meeting. And the hybrid method combines the community ranking procedure with a subsequent PMT verification before households can be fully eligible.",,,Yes,640 villages,Yes,,,AEARCTR-0000097,,,"March 14, 2009 12:00 AM +00:00","November 20, 2013",,"209 sub villages got PMT method, 214 villages got community method and 217 villages got hybrid method",,Yes,,"February 28, 2009, 12:00 AM +00:00","5,756 households",,
"We make Double (iron and iodine) Fortified Salt (DFS) available for purchase, at a discount from the MRP, in 200 villages randomly assigned to this treatment.  All 200 villages also receive an information/marketing campaign through posters and a street play conducted by actors.",,,,,Yes,,,AEARCTR-0000013,"Indian Council of Medical Research,MIT COUHES,IFMR (Chennai)","2012-01-10,2011-11-08,2011-05-02",,"May 16, 2013",,,,,,,,,"5/7/1008/Indo/FRC/2011-RHN,1101004293,IRB00007107; FWA00014616; IORG0005894"
